symbol
ESCORTS
CHAMBLFERT
PNB
DALBHARAT
SBIN
SRF
PIDILITIND
ABFRL
ASTRAL
GRANULES
IOC
HDFCBANK
POWERGRID
INDIACEM
PFIZER
VOLTAS
RELIANCE
HINDUNILVR
MFSL
DIVISLAB
DABUR
ICICIBANK
HAVELLS
DEEPAKNTR
ABBOTINDIA
PIIND
CUB
LAURUSLABS
CANBK
COROMANDEL
IPCALAB
SUNPHARMA
GODREJCP
NESTLEIND
ASIANPAINT
BALKRISIND
ALKEM
BERGEPAINT
HDFC
SBILIFE
COLPAL
POLYCAB
SYNGENE
ICICIPRULI
PEL
EXIDEIND
JKCEMENT
INFY
ITC
CUMMINSIND
HINDPETRO
BHARTIARTL
DLF
AXISBANK
IBULHSGFIN
IDEA
TITAN
TATACONSUM
NAVINFLUOR
BAJAJ-AUTO
NTPC
HDFCLIFE
LICHSGFIN
CROMPTON
L&TFH
MCDOWELL-N
ULTRACEMCO
BRITANNIA
LTTS
ADANIENT
GRASIM
IRCTC
NAUKRI
PAGEIND
LUPIN
PETRONET
BATAINDIA
ICICIGI
WHIRLPOOL
KOTAKBANK
GMRINFRA
STAR
TCS
CIPLA
HINDALCO
BSOFT
CHOLAFIN
AARTIIND
RECLTD
ADANIPORTS
BANKBARODA
UBL
ACC
IGL
DIXON
HDFCAMC
JSWSTEEL
TATACHEM
LALPATHLAB
NMDC
INDUSTOWER
SIEMENS
PFC
MARICO
BAJAJFINSV
BANDHANBNK
M&MFIN
RAMCOCEM
WIPRO
HAL
ONGC
BAJFINANCE
TORNTPHARM
CONCOR
IDFCFIRSTB
COALINDIA
BPCL
UPL
TRENT
INDIAMART
MARUTI
AMBUJACEM
SHREECEM
DELTACORP
DRREDDY
TVSMOTOR
ZEEL
APOLLOHOSP
AUBANK
INDHOTEL
RBLBANK
MRF
HEROMOTOCO
MUTHOOTFIN
FSL
INDUSINDBK
OFSS
PVR
TATASTEEL
AMARAJABAT
GODREJPROP
GAIL
FEDERALBNK
BIOCON
SAIL
SUNTV
EICHERMOT
CANFINHOME
LT
BEL
HCLTECH
BHEL
SBICARD
MANAPPURAM
JUBLFOOD
BHARATFORG
METROPOLIS
TORNTPOWER
MCX
GUJGASLTD
APOLLOTYRE
INDIGO
TECHM
JINDALSTEL
NATIONALUM
MPHASIS
M&M
PERSISTENT
APLLTD
OBEROIRLTY
MGL
IEX
ATUL
TATAMOTORS
GLENMARK
AUROPHARMA
GSPL
NAM-INDIA
COFORGE
ASHOKLEY
TATAPOWER
BOSCHLTD
VEDL
